subclass,instance,gender,age,publication_year
Artist,Katie_Dey,trans woman,,2019.0
Model,Kayo_Satoh,trans woman,36.0,2010.0
Youtuber,Keffals,trans woman,30.0,2022.0
Artist,Kehlani,non-binary,29.0,2015.0
Artist,Kellie_Loder,non-binary,36.0,2012.0
Artist,Kent_Monkman,two-spirit,59.0,2009.0
Artist,Kevin_Barnes,non-binary,50.0,2005.0
Politician,Kim_Coco_Iwamoto,trans woman,56.0,2008.0
Artist,Kim_Dracula,non-binary,27.0,2021.0
Artist,Kim_Petras,trans woman,32.0,2008.0
Writer,Kim_de_l'Horizon,non-binary,32.0,2022.0
Artist,Kimya_Dawson,non-binary,52.0,2004.0
Artist,Kindness_(musician),non-binary,42.0,2012.0
Artist,Kiyan_Williams,non-binary,33.0,2017.0
Writer,Krista_McCracken,undisclosed gender,,2022.0
Politician,Kristyn_Wong-Tam,non-binary,52.0,2010.0
Writer,Kyle_Lukoff,trans man,40.0,2019.0
Writer,Kyle_Mewburn,trans woman,61.0,2018.0
Artist,Kylie_V,non-binary,20.0,2022.0
Artist,L.J._Roberts,non-binary,44.0,2017.0
Artist,L._Frank,two-spirit,72.0,2006.0
Artist,LP_(singer),non-binary,43.0,2004.0
Royalty,Labib_al-Fata_al-Saqlabi,eunuch,,2020.0
Artist,Lady_Catiria,trans woman,40.0,2009.0
Artist,Laerte_Coutinho,trans woman,73.0,2011.0
Writer,Laila_Woozeer,non-binary,,2022.0
OfficeHolder,Larry_(cat),male organism,17.0,2011.0
Artist,Laura_Les,trans woman,30.0,2021.0
Artist,Lauren_Auder,trans woman,25.0,2021.0
Academic,Lauren_Berlant,non-binary,67.0,2004.0
Artist,Lauren_O'Connell,non-binary,36.0,2010.0
Writer,Laurie_Penny,genderqueer,38.0,2011.0
Model,Lea_T,trans woman,43.0,2011.0
Writer,Lee_Harrington,trans man,45.0,2013.0
Scientist,Lee_Penn,non-binary,,2021.0
Artist,Left_at_London,non-binary,28.0,2019.0
Artist,Leigh_Dragoon,non-binary,48.0,2011.0
Athlete,Leo_Baker_(skateboarder),non-binary,33.0,2008.0
Writer,Leslie_Feinberg,transgender,65.0,2004.0
Model,Leyna_Bloom,trans woman,34.0,2017.0
Politician,Li_Lianying,eunuch,63.0,2004.0
Artist,Lia_Clark,genderfluid,32.0,2010.0
Artist,Lilah_Sturges,trans woman,54.0,2007.0
MilitaryPerson,Lin_Wang,male organism,86.0,2004.0
Politician,Linda_Brasil,trans woman,51.0,2022.0
Writer,Linden_A._Lewis,non-binary,,2021.0
Writer,Lindo_Bacon,genderqueer,61.0,2021.0
Writer,Lindsay_Nixon,non-binary,,2023.0
Artist,Liniker,trans woman,29.0,2019.0
